x, 0, 0, fffX, x, x, x, x, x, x, x, x, xxxx, xx, xx, xx, xx, xx, xx, Xx, xxxx, xx, xx, xx
1, 0, 0, fffc, 1, 0, 6, 0, 0, 1, 3, 1, f848, 10, 24, 00, 00, 00, ff, 24, f848, a9, 80, f8
1, 0, 0, fffc, 0, 0, 3, 0, 0, 1, 3, 1, f849, fe, 49, 80, 00, 00, ff, a4, f849, 10, 80, f8
1, 0, 0, fffc, 1, 0, 3, 0, 0, 1, 3, 1, f84a, 49, a4, 80, 00, 00, ff, a4, f84a, 10, fe, f8
1, 0, 0, fffc, 0, 0, 6, 0, 0, 1, 3, 1, f84b, 80, 4b, 80, 00, 00, ff, a4, f84b, 49, fe, f8
1, 0, 0, fffc, 1, 0, 6, 0, 0, 1, 3, 1, f84c, 30, a4, 80, 00, 00, ff, a4, f84c, 49, 80, f8
1, 0, 0, fffc, 0, 0, 3, 0, 0, 1, 3, 1, f84d, fe, 4d, 00, 00, 00, ff, 26, f84d, 30, 80, f8
1, 0, 0, fffc, 1, 0, 3, 0, 0, 1, 3, 1, f84e, 38, 26, 00, 00, 00, ff, 26, f84e, 30, fe, f8
1, 0, 0, fffc, 1, 1, 5, 0, 0, 1, 3, 1, f84f, 90, 26, 00, 00, 00, ff, 26, f84f, 38, fe, f8
1, 0, 0, fffc, 0, 0, 3, 0, 0, 1, 3, 1, f850, fe, 50, 00, 00, 00, ff, 27, f850, 90, fe, f8
1, 0, 0, fffc, 1, 0, 3, 0, 0, 1, 3, 1, f851, e9, 27, 00, 00, 00, ff, 27, f851, 90, fe, f8
1, 0, 0, fffc, 0, 0, 6, 0, 0, 1, 3, 1, f852, 80, 52, 00, 00, 00, ff, 27, f852, e9, fe, f8
1, 0, 0, fffc, 1, 0, 6, 0, 0, 1, 3, 1, f853, 50, 27, 00, 00, 00, ff, 27, f853, e9, 80, f8
1, 0, 0, fffc, 0, 0, 3, 0, 0, 1, 3, 1, f854, fe, 54, 80, 00, 00, ff, e4, f854, 50, 80, f8
1, 0, 0, fffc, 1, 0, 3, 0, 0, 1, 3, 1, f855, b0, e4, 80, 00, 00, ff, e4, f855, 50, fe, f8
1, 0, 0, fffc, 0, 0, 3, 0, 0, 1, 3, 1, f856, fe, 56, 80, 00, 00, ff, e4, f856, b0, fe, f8
1, 0, 0, fffc, 1, 0, 3, 0, 0, 1, 3, 1, f857, f0, e4, 80, 00, 00, ff, e4, f857, b0, fe, f8
1, 0, 0, fffc, 0, 0, 3, 0, 0, 1, 3, 1, f858, fe, 58, 80, 00, 00, ff, e4, f858, f0, fe, f8
1, 0, 0, fffc, 1, 0, 3, 0, 0, 1, 3, 1, f859, e9, e4, 80, 00, 00, ff, e4, f859, f0, fe, f8
1, 0, 0, fffc, 0, 0, 6, 0, 0, 1, 3, 1, f85a, 7f, 5a, 80, 00, 00, ff, e4, f85a, e9, fe, f8
